open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,changeVl
21.11,23.44,23.13,21.06,303458.56,1.82,8.54,21.442,21.636,21.924,162290.45,180162.98,205572.5,7.59,1
20.8,21.44,21.31,20.65,111032.43,0.33,1.57,21.212,21.649,21.674,136454.34,178044.29,192451.24,2.78,1
20.86,21.19,20.98,20.69,93068.35,-0.03,-0.14,21.262,21.852,21.562,143812.95,210768.22,189283.48,2.33,-1
20.59,21.14,21.01,20.51,123547.26,0.23,1.11,21.414,22.347,21.463,154475.33,243628.74,186661.35,3.09,1
21.97,21.99,20.78,20.75,180345.66,-1.2,-5.46,21.546,22.603,21.378,176393.3,251783.78,183077.72,4.51,-1
21.59,22.14,21.98,21.37,174278.0,0.42,1.95,21.83,22.933,21.266,198035.52,271149.75,175424.65,4.36,1
21.6,21.74,21.56,21.13,147825.48,-0.18,-0.83,22.086,22.985,21.102,219634.25,276623.48,169829.99,3.7,-1
21.78,21.94,21.74,21.47,146380.23,0.07,0.32,22.442,22.909,20.933,277723.49,274405.71,163967.44,3.66,1
22.2,22.37,21.67,21.41,233137.12,-0.53,-2.39,23.28,22.756,20.743,332782.16,269586.69,158480.44,5.83,-1
23.1,23.24,22.2,22.06,288556.75,-1.06,-4.56,23.66,22.519,20.555,327174.26,253323.02,148477.09,7.22,-1
23.3,23.87,23.26,22.57,282271.66,-0.08,-0.34,24.036,22.211,20.333,344263.97,230982.02,136002.95,7.06,-1
24.0,24.47,23.34,23.34,438271.69,-2.59,-9.99,23.884,21.699,20.02,333612.72,206858.19,123274.25,10.97,-1
23.32,25.93,25.93,23.26,421673.59,2.36,10.01,23.376,21.272,19.694,271087.94,167798.74,103052.22,10.55,1
23.0,23.84,23.57,22.9,205097.59,-0.51,-2.12,22.232,20.579,19.268,206391.22,129693.95,82884.05,5.13,-1
23.75,24.45,24.08,22.22,374005.34,1.58,7.02,21.378,20.152,18.976,179471.78,114371.67,73335.91,9.36,1
21.0,22.85,22.5,20.94,229015.38,1.7,8.17,20.386,19.599,18.665,117700.07,79699.55,55293.91,5.73,1
20.41,21.78,20.8,20.41,125647.79,0.59,2.92,19.514,19.218,18.43,80103.66,63036.5,44539.8,3.14,1
19.33,20.35,20.21,19.33,98190.0,0.91,4.71,19.168,18.956,18.286,64509.53,53529.16,39407.28,2.46,1
19.31,19.91,19.3,19.11,70500.37,0.18,0.94,18.926,18.729,18.161,52996.68,47374.18,35624.83,1.76,1
18.25,19.35,19.12,18.25,65146.83,0.98,5.4,18.926,18.59,18.071,49271.56,43631.15,32830.88,1.63,1
18.8,18.8,18.14,18.1,41033.32,-0.93,-4.88,18.812,18.455,17.995,41699.02,41023.88,31194.55,1.03,-1
19.2,19.2,19.07,18.6,47677.14,0.07,0.37,18.922,18.34,17.984,45969.33,39690.31,30424.58,1.19,1
19.35,19.5,19.0,18.93,40625.74,-0.3,-1.55,18.744,18.115,17.947,42548.78,38305.7,29018.31,1.02,-1
18.59,19.44,19.3,18.59,51874.76,0.75,4.04,18.532,17.956,17.933,41751.68,36074.15,27758.64,1.3,1
18.74,18.8,18.55,18.4,27284.12,-0.14,-0.75,18.254,17.8,17.894,37990.75,32300.16,26154.61,0.68,-1
18.16,18.94,18.69,18.14,62384.89,0.51,2.81,18.098,17.73,17.898,40348.75,30888.27,26522.92,1.56,1
18.15,18.19,18.18,17.65,30574.41,0.24,1.34,17.758,17.641,17.919,33411.29,26043.1,24308.65,0.77,1
17.9,18.24,17.94,17.73,36640.23,0.03,0.17,17.486,17.616,17.978,34062.61,25285.4,24417.52,0.92,1
17.85,18.25,17.91,17.8,33070.1,0.14,0.79,17.38,17.592,18.05,30396.62,23875.48,23853.99,0.83,1
17.1,17.95,17.77,17.0,39074.11,0.78,4.59,17.346,17.552,18.127,26609.57,22030.62,24128.74,0.98,1
16.95,17.15,16.99,16.84,27697.59,0.17,1.01,17.362,17.535,18.175,21427.78,21365.22,24107.48,0.69,1
17.2,17.41,16.82,16.72,33831.04,-0.59,-3.39,17.524,17.628,18.266,18674.92,21158.85,23900.6,0.85,-1
17.75,17.99,17.41,17.36,18310.28,-0.33,-1.86,17.746,17.778,18.362,16508.19,19730.92,23311.0,0.46,-1
17.85,18.06,17.74,17.69,14134.85,-0.11,-0.62,17.804,17.909,18.428,17354.34,19443.13,24396.01,0.35,-1
17.81,18.07,17.85,17.8,13165.16,0.05,0.28,17.758,17.987,18.522,17451.66,20009.05,25054.77,0.33,1
17.8,18.09,17.8,17.75,13933.25,-0.13,-0.72,17.708,18.066,18.605,21302.65,22157.57,28296.82,0.35,-1
17.87,18.29,17.93,17.75,22997.42,0.23,1.3,17.732,18.197,18.726,23642.78,22574.2,32911.65,0.58,1
17.5,17.71,17.7,17.18,22541.04,0.19,1.08,17.81,18.339,18.903,22953.65,23549.63,37342.6,0.56,1
17.3,17.76,17.51,17.3,14621.41,-0.09,-0.51,18.014,18.507,19.06,21531.92,23832.49,38990.21,0.37,-1
17.85,17.97,17.6,17.13,32420.13,-0.32,-1.79,18.216,18.701,19.218,22566.44,26226.87,42014.27,0.81,-1
18.35,18.35,17.92,17.51,25633.92,-0.4,-2.18,18.424,18.815,19.409,23012.48,26849.75,44264.75,0.64,-1
18.63,18.8,18.32,18.27,19551.74,-0.4,-2.14,18.662,18.903,19.584,21505.61,26642.36,50120.73,0.49,-1
18.53,18.83,18.72,18.48,15432.39,0.2,1.08,18.868,18.946,19.701,24145.61,26891.07,53536.97,0.39,1
18.58,18.85,18.52,18.45,19794.03,-0.12,-0.64,19.0,18.946,19.801,26133.05,29348.9,60903.79,0.5,-1
19.1,19.24,18.64,18.5,34650.32,-0.47,-2.46,19.186,19.057,19.971,29887.3,30100.48,68311.21,0.87,-1
